Açaí-Guaraná,Citrus,Estação,LAT,LONG,Maçã-Verde,Movimentação,Original_269,Original_473,Pêssego,TARGET,Tangerina,Tempo,Zero,row
7,8,Pinheiros,-23.5664,-46.703,6,79965,31,29,35,REABASTECER,25,2018-04-13,8,8743
23,20,Ana Rosa,-23.5813,-46.6383,18,66403,51,48,43,NORMAL,38,2018-08-07,20,11737
8,28,São Joaquim,-23.5618,-46.6389,23,34689,31,51,33,NORMAL,36,2018-06-12,10,12402
14,32,São Joaquim,-23.5618,-46.6389,10,34917,19,23,37,NORMAL,43,2018-07-04,65,12424
7,28,Ana Rosa,-23.5813,-46.6383,5,63885,45,6,18,REABASTECER,32,2018-12-02,65,11852
32,35,Ana Rosa,-23.5813,-46.6383,28,64240,56,46,43,NORMAL,8,2019-11-30,39,12210
5,27,Butantã,-23.5844,-46.7252,39,65321,30,74,9,NORMAL,26,2018-03-03,36,9423
38,5,Butantã,-23.5844,-46.7252,1,64315,56,15,25,NORMAL,8,2018-03-28,47,9448
21,11,São Judas,-23.6255,-46.6411,31,15321,37,49,43,NORMAL,25,2018-07-30,8,13170
40,4,São Judas,-23.6255,-46.6411,26,14739,3,39,20,REABASTECER,38,2018-08-17,17,13187
33,12,São Joaquim,-23.5618,-46.6389,25,35452,55,20,5,NORMAL,43,2018-11-29,58,12569
13,2,Butantã,-23.5844,-46.7252,31,67023,9,37,8,REABASTECER,21,2018-07-21,46,9561
43,16,São Joaquim,-23.5618,-46.6389,16,33794,16,43,8,NORMAL,31,2019-02-16,59,12646
23,19,São Joaquim,-23.5618,-46.6389,11,35114,51,57,43,NORMAL,1,2019-07-24,35,12804
40,35,Butantã,-23.5844,-46.7252,9,65850,45,56,13,NORMAL,12,2019-06-24,42,9894
43,9,São Judas,-23.6255,-46.6411,15,15897,28,52,12,REABASTECER,4,2019-08-30,34,13560
28,29,São Joaquim,-23.5618,-46.6389,4,35228,19,13,43,NORMAL,20,2019-11-27,57,12927
39,19,São Joaquim,-23.5618,-46.6389,39,34606,23,23,12,REABASTECER,43,2019-12-14,6,12944
30,39,Butantã,-23.5844,-46.7252,23,64509,61,55,4,NORMAL,16,2019-09-22,11,9982
26,42,São Judas,-23.6255,-46.6411,21,13827,65,29,40,NORMAL,31,2018-07-07,37,13147
43,31,Vila Mariana,-23.5895,-46.6346,22,23708,65,39,39,NORMAL,43,2018-06-28,31,13858
4,42,Fradique Coutinho,-23.5661,-46.6841,21,36767,32,34,27,NORMAL,25,2018-08-27,6,10317
18,30,Vila Mariana,-23.5895,-46.6346,26,24812,17,69,17,NORMAL,22,2019-05-12,24,14172
17,21,Vila Mariana,-23.5895,-46.6346,34,22872,28,14,14,NORMAL,15,2018-01-08,14,13688
6,43,Vila Mariana,-23.5895,-46.6346,13,23438,23,17,43,NORMAL,5,2019-11-13,37,14353
26,12,Vila Mariana,-23.5895,-46.6346,1,23195,61,35,30,NORMAL,29,2019-11-29,65,14369
18,38,Luz,-23.5365,-46.6332,39,127575,43,86,14,NORMAL,3,2018-06-07,34,10957
5,35,Brooklin,-23.6263,-46.6878,43,26063,47,6,16,REABASTECER,28,2018-10-07,65,14677
38,25,Luz,-23.5365,-46.6332,9,125488,60,77,9,NORMAL,16,2018-08-10,6,11020
12,9,Luz,-23.5365,-46.6332,19,124887,4,75,15,REABASTECER,23,2018-08-19,8,11029
41,21,Brooklin,-23.6263,-46.6878,10,26449,28,24,17,NORMAL,39,2019-05-07,13,14887
40,40,Vila Mariana,-23.5895,-46.6346,7,24131,11,86,38,NORMAL,38,2019-11-15,26,14355
28,12,Brooklin,-23.6263,-46.6878,31,27956,59,40,13,NORMAL,21,2018-04-06,39,14496
13,43,Brooklin,-23.6263,-46.6878,12,27395,9,41,24,REABASTECER,15,2018-06-09,32,14559
7,6,Campo Belo,-23.6188,-46.6823,35,26565,45,54,34,REABASTECER,36,2018-04-02,38,15212
24,16,Brooklin,-23.6263,-46.6878,43,27551,65,28,15,NORMAL,34,2018-12-18,19,14748
2,23,Brooklin,-23.6263,-46.6878,18,27456,14,43,20,REABASTECER,30,2019-03-03,27,14823
9,30,Brooklin,-23.6263,-46.6878,31,26449,32,7,19,REABASTECER,39,2019-03-24,19,14844
43,37,Ana Rosa,-23.5813,-46.6383,38,66037,19,51,24,NORMAL,26,2018-09-14,41,11774
7,43,Campo Belo,-23.6188,-46.6823,12,24880,41,10,3,NORMAL,24,2019-04-28,27,15598
14,37,Campo Belo,-23.6188,-46.6823,35,25091,58,67,24,NORMAL,36,2019-07-23,20,15683
22,40,Tatuapé,-23.5402,-46.5765,43,67874,56,79,40,NORMAL,16,2018-10-09,51,6039
37,43,Sé,-23.55,-46.6333,40,193408,6,21,43,REABASTECER,4,2019-04-08,28,4058
27,31,Sé,-23.55,-46.6333,19,192355,56,17,30,NORMAL,43,2019-05-12,32,4092
39,32,República,-23.5436,-46.6434,12,109616,29,75,3,NORMAL,25,2018-09-26,42,6746
43,15,República,-23.5436,-46.6434,35,107221,45,73,23,NORMAL,27,2018-11-28,33,6808
22,43,República,-23.5436,-46.6434,41,108020,19,50,31,NORMAL,22,2019-03-01,4,6901
5,6,Tatuapé,-23.5402,-46.5765,5,67355,18,86,17,REABASTECER,24,2019-12-12,22,6462
16,21,República,-23.5436,-46.6434,24,109314,17,25,15,NORMAL,13,2018-01-08,17,6488
37,24,Brás,-23.5451,-46.6162,30,73930,10,31,30,NORMAL,14,2019-03-25,18,4765
33,33,Brás,-23.5451,-46.6162,35,73661,65,78,31,NORMAL,4,2019-04-07,58,4777
38,22,República,-23.5436,-46.6434,34,110219,11,45,23,NORMAL,10,2019-05-20,38,6980
43,32,Higienópolis-Mackenzie,-23.5488,-46.6519,25,92150,32,12,13,NORMAL,20,2019-01-24,44,7584
15,31,Higienópolis-Mackenzie,-23.5488,-46.6519,19,92406,45,86,43,NORMAL,41,2019-03-01,59,7621
38,43,Higienópolis-Mackenzie,-23.5488,-46.6519,9,93443,41,38,10,NORMAL,13,2019-04-10,56,7660
25,28,Barra Funda,-23.5542,-46.6707,43,149047,41,11,22,REABASTECER,23,2018-01-17,35,5057
17,10,Barra Funda,-23.5542,-46.6707,43,147777,56,52,32,NORMAL,18,2018-02-17,20,5087
43,17,Higienópolis-Mackenzie,-23.5488,-46.6519,5,93069,30,77,30,REABASTECER,40,2019-06-25,65,7735
3,32,Barra Funda,-23.5542,-46.6707,14,146876,25,48,38,REABASTECER,39,2018-06-11,61,5201
34,42,Faria Lima,-23.5675,-46.6929,43,51560,57,42,36,NORMAL,26,2018-01-14,41,7934
14,19,Faria Lima,-23.5675,-46.6929,24,52671,45,76,26,REABASTECER,4,2018-02-09,65,7959
12,10,Barra Funda,-23.5542,-46.6707,30,149068,11,3,8,REABASTECER,5,2019-01-01,23,5401
22,23,Faria Lima,-23.5675,-46.6929,13,52123,17,21,27,NORMAL,37,2018-09-10,26,8170
35,41,Higienópolis-Mackenzie,-23.5488,-46.6519,30,91407,32,68,14,NORMAL,13,2019-02-05,37,7595
10,25,Faria Lima,-23.5675,-46.6929,16,54470,14,86,25,NORMAL,33,2018-11-06,24,8226
43,26,Higienópolis-Mackenzie,-23.5488,-46.6519,24,92810,51,36,16,NORMAL,25,2019-04-18,0,7668
37,15,Faria Lima,-23.5675,-46.6929,15,54146,15,79,22,NORMAL,25,2018-12-21,41,8271
37,41,Faria Lima,-23.5675,-46.6929,43,53096,65,67,22,NORMAL,8,2019-04-11,44,8381
9,43,Higienópolis-Mackenzie,-23.5488,-46.6519,7,93437,56,57,43,REABASTECER,26,2019-09-14,4,7814
33,12,Barra Funda,-23.5542,-46.6707,8,150441,59,55,31,NORMAL,25,2019-12-20,65,5750
29,4,Higienópolis-Mackenzie,-23.5488,-46.6519,10,89596,18,79,11,REABASTECER,1,2019-11-25,35,7885
21,40,Tatuapé,-23.5402,-46.5765,18,70826,34,33,26,NORMAL,27,2018-05-11,65,5891
41,43,Tatuapé,-23.5402,-46.5765,35,68673,65,34,9,NORMAL,33,2018-07-21,16,5961
18,16,Faria Lima,-23.5675,-46.6929,18,53586,22,55,9,NORMAL,39,2019-12-18,35,8628
31,32,Pinheiros,-23.5664,-46.703,24,77957,33,66,43,NORMAL,29,2018-09-01,16,8881
43,35,Tatuapé,-23.5402,-46.5765,35,67675,31,45,32,NORMAL,31,2019-04-24,41,6234
40,42,Faria Lima,-23.5675,-46.6929,4,51586,15,86,29,REABASTECER,16,2019-03-29,7,8369
18,25,Faria Lima,-23.5675,-46.6929,11,51014,48,78,30,NORMAL,32,2019-06-23,45,8453
22,16,Faria Lima,-23.5675,-46.6929,36,53972,44,6,19,REABASTECER,4,2019-07-27,65,8487
33,22,Faria Lima,-23.5675,-46.6929,22,51818,65,68,30,NORMAL,11,2019-08-27,2,8517
5,32,Pinheiros,-23.5664,-46.703,30,77636,22,34,9,NORMAL,34,2019-04-14,43,9104
7,13,Faria Lima,-23.5675,-46.6929,15,51556,31,32,40,NORMAL,29,2019-09-26,11,8546
9,43,Pinheiros,-23.5664,-46.703,37,76218,46,54,2,REABASTECER,12,2019-05-25,10,9145
2,5,Faria Lima,-23.5675,-46.6929,5,53936,7,64,31,NORMAL,26,2019-11-10,45,8590
12,12,Pinheiros,-23.5664,-46.703,11,79630,35,37,37,NORMAL,31,2018-04-12,15,8742
10,21,República,-23.5436,-46.6434,43,107467,20,26,25,NORMAL,28,2018-06-16,65,6646
31,23,Pinheiros,-23.5664,-46.703,8,77958,13,26,29,NORMAL,43,2018-05-09,33,8769
43,33,Pinheiros,-23.5664,-46.703,42,76375,65,35,22,NORMAL,38,2018-07-03,65,8823
34,35,Butantã,-23.5844,-46.7252,33,65903,34,15,24,NORMAL,31,2018-05-03,56,9483
32,22,República,-23.5436,-46.6434,3,109193,42,86,43,REABASTECER,7,2019-01-03,65,6843
43,21,Butantã,-23.5844,-46.7252,35,64916,39,86,16,NORMAL,13,2018-10-09,48,9639
34,37,Pinheiros,-23.5664,-46.703,43,77460,29,86,34,REABASTECER,6,2019-06-09,50,9159
16,24,República,-23.5436,-46.6434,28,110873,39,30,8,REABASTECER,33,2019-11-17,1,7157
37,12,Pinheiros,-23.5664,-46.703,34,76663,65,6,12,REABASTECER,5,2019-12-03,21,9333
39,10,Brigadeiro,-23.5683,-46.6482,40,48618,35,59,33,NORMAL,25,2019-11-19,24,1399
9,25,Eucaliptos,-23.61,-46.6686,35,22621,21,43,11,REABASTECER,25,2018-09-26,9,16106
21,13,Eucaliptos,-23.61,-46.6686,34,24815,57,36,28,NORMAL,21,2018-11-11,31,16151
43,17,Trianon-Masp,-23.5634,-46.6544,36,45166,16,20,8,NORMAL,18,2018-06-06,26,1596
3,22,Eucaliptos,-23.61,-46.6686,36,24731,14,37,11,REABASTECER,1,2019-08-23,55,16433
19,34,Trianon-Masp,-23.5634,-46.6544,37,45638,55,86,9,NORMAL,43,2019-01-03,37,1803
31,12,Eucaliptos,-23.61,-46.6686,2,23916,26,23,33,REABASTECER,23,2019-11-07,30,16507
14,9,Eucaliptos,-23.61,-46.6686,6,22520,9,51,7,REABASTECER,37,2019-11-22,50,16522
39,12,Eucaliptos,-23.61,-46.6686,43,22853,0,63,27,REABASTECER,13,2019-12-19,55,16549
38,9,Trianon-Masp,-23.5634,-46.6544,39,42756,65,77,7,NORMAL,43,2019-06-23,37,1973
6,22,Moema,-23.5489,-46.6388,7,17126,38,2,14,REABASTECER,22,2018-03-11,16,16631
3,24,Moema,-23.5489,-46.6388,41,17611,33,86,28,NORMAL,4,2018-11-07,61,16867
20,27,Consolação,-23.5581,-46.6606,32,111854,23,11,17,REABASTECER,32,2018-05-11,20,2291
43,11,Hospital São Paulo,-23.5984,-46.6455,22,26636,34,59,25,NORMAL,16,2019-12-18,12,17004
28,25,Consolação,-23.5581,-46.6606,27,114684,43,3,32,NORMAL,24,2018-11-24,61,2484
15,32,Paraíso,-23.57677,-46.63933,15,72460,19,50,6,NORMAL,35,2018-05-17,25,137
10,37,Consolação,-23.5581,-46.6606,10,113434,32,49,35,NORMAL,26,2019-06-15,27,2685
24,22,Consolação,-23.5581,-46.6606,21,114023,39,86,18,NORMAL,43,2019-08-02,46,2732
30,28,Consolação,-23.5581,-46.6606,12,114497,65,79,5,NORMAL,5,2019-09-20,43,2780
30,11,Paraíso,-23.57677,-46.63933,12,70913,4,43,15,REABASTECER,37,2019-06-08,51,518
19,43,Paraíso,-23.57677,-46.63933,6,73948,55,21,5,NORMAL,31,2019-06-10,34,520
43,28,Tamanduateí,-23.5929,-46.5897,2,50343,17,50,16,NORMAL,28,2018-09-05,8,3125
35,30,Consolação,-23.5581,-46.6606,25,112103,65,67,7,NORMAL,4,2019-05-09,25,2649
29,17,Consolação,-23.5581,-46.6606,20,112731,58,42,18,REABASTECER,3,2019-05-29,3,2669
22,10,Brigadeiro,-23.5683,-46.6482,30,48066,60,86,30,NORMAL,29,2018-06-17,42,887
34,19,Consolação,-23.5581,-46.6606,38,115337,6,23,31,NORMAL,11,2019-10-21,21,2811
29,21,Consolação,-23.5581,-46.6606,33,113356,51,75,16,NORMAL,6,2019-12-07,41,2857
7,26,Tamanduateí,-23.5929,-46.5897,37,49608,40,66,39,NORMAL,29,2019-07-19,57,3439
21,43,Tamanduateí,-23.5929,-46.5897,21,52338,61,22,4,NORMAL,28,2019-08-20,45,3470
2,27,Tamanduateí,-23.5929,-46.5897,40,52969,21,71,24,REABASTECER,7,2019-08-25,10,3475
10,34,Tamanduateí,-23.5929,-46.5897,11,50065,65,74,32,REABASTECER,34,2018-02-27,7,2937
43,15,Brigadeiro,-23.5683,-46.6482,43,48948,65,76,27,NORMAL,6,2018-12-10,44,1060
13,19,Brigadeiro,-23.5683,-46.6482,25,48496,53,27,18,NORMAL,36,2019-03-22,47,1162
16,31,Brigadeiro,-23.5683,-46.6482,41,46028,60,65,2,REABASTECER,22,2019-04-15,23,1185
14,37,Brigadeiro,-23.5683,-46.6482,15,46830,58,59,43,NORMAL,5,2019-08-03,41,1293
10,9,Brigadeiro,-23.5683,-46.6482,40,48054,60,78,28,NORMAL,23,2019-08-27,10,1317
40,41,Sé,-23.55,-46.6333,42,193858,31,19,43,REABASTECER,3,2019-07-12,51,4152
21,12,Trianon-Masp,-23.5634,-46.6544,7,45736,40,12,10,NORMAL,35,2019-03-20,33,1880
27,20,Sé,-23.55,-46.6333,28,193217,37,68,11,NORMAL,13,2018-10-26,22,3896
21,11,Luz,-23.5365,-46.6332,20,126364,43,60,21,REABASTECER,38,2019-04-26,1,11276
24,4,Fradique Coutinho,-23.5661,-46.6841,23,35467,9,86,34,REABASTECER,31,2018-06-01,61,10231
43,19,Ana Rosa,-23.5813,-46.6383,12,65600,19,73,27,NORMAL,24,2018-08-23,58,11753
43,3,Ana Rosa,-23.5813,-46.6383,32,66155,41,42,7,NORMAL,3,2019-04-03,38,11973
5,20,Ana Rosa,-23.5813,-46.6383,16,67482,27,86,32,REABASTECER,27,2018-08-22,65,11752
6,39,Ana Rosa,-23.5813,-46.6383,23,64049,20,40,27,REABASTECER,25,2018-09-24,34,11784
12,13,Fradique Coutinho,-23.5661,-46.6841,26,35683,31,86,6,REABASTECER,12,2019-11-18,11,10758
17,43,São Joaquim,-23.5618,-46.6389,43,33060,9,86,13,NORMAL,4,2018-08-19,19,12469
8,33,Luz,-23.5365,-46.6332,43,126046,48,32,6,REABASTECER,22,2018-09-10,52,11050
23,30,São Joaquim,-23.5618,-46.6389,32,32623,44,40,27,NORMAL,20,2018-01-05,32,12245
3,12,São Joaquim,-23.5618,-46.6389,32,33642,43,38,43,NORMAL,29,2018-09-03,51,12483
26,15,São Judas,-23.6255,-46.6411,34,16465,21,56,18,NORMAL,38,2018-03-06,33,13026
18,34,São Judas,-23.6255,-46.6411,26,13772,43,7,22,REABASTECER,7,2018-04-27,2,13077
7,43,Luz,-23.5365,-46.6332,41,127373,59,79,31,NORMAL,33,2019-12-18,57,11508
31,40,Ana Rosa,-23.5813,-46.6383,38,66786,54,68,31,NORMAL,31,2018-01-03,45,11523
39,43,São Judas,-23.6255,-46.6411,18,14709,2,86,22,NORMAL,5,2018-08-05,40,13175
39,25,Ana Rosa,-23.5813,-46.6383,10,63932,48,52,13,REABASTECER,25,2018-03-25,6,11605
9,38,São Joaquim,-23.5618,-46.6389,27,33462,16,6,5,NORMAL,25,2019-06-06,65,12756
32,12,São Judas,-23.6255,-46.6411,5,15954,45,41,36,REABASTECER,37,2018-09-23,30,13223
27,42,São Judas,-23.6255,-46.6411,43,16231,29,20,30,NORMAL,34,2018-12-08,37,13298
31,22,São Judas,-23.6255,-46.6411,11,16704,35,14,37,NORMAL,37,2018-12-17,44,13307
14,13,Ana Rosa,-23.5813,-46.6383,28,66999,45,41,28,NORMAL,41,2018-11-20,18,11840
12,37,São Judas,-23.6255,-46.6411,38,14753,56,20,7,NORMAL,35,2018-05-23,24,13103
14,10,São Judas,-23.6255,-46.6411,1,15501,32,6,21,NORMAL,24,2019-02-13,55,13363
9,24,Vila Mariana,-23.5895,-46.6346,16,21121,31,10,12,REABASTECER,20,2018-06-04,61,13834
43,30,São Judas,-23.6255,-46.6411,12,14918,13,73,23,NORMAL,32,2019-05-22,47,13462
40,29,Vila Mariana,-23.5895,-46.6346,40,23494,22,29,4,REABASTECER,38,2018-08-22,37,13912
2,14,Vila Mariana,-23.5895,-46.6346,9,24223,57,46,21,NORMAL,7,2018-11-25,6,14005
25,28,Vila Mariana,-23.5895,-46.6346,36,23820,13,86,11,NORMAL,31,2018-03-13,25,13753
41,43,Vila Mariana,-23.5895,-46.6346,43,22540,8,13,8,REABASTECER,30,2019-12-28,53,14398
21,26,Brooklin,-23.6263,-46.6878,21,26775,18,25,28,REABASTECER,28,2018-01-17,6,14417
43,11,Brooklin,-23.6263,-46.6878,12,27394,53,63,43,NORMAL,11,2018-01-22,33,14422
22,39,Brooklin,-23.6263,-46.6878,23,30059,65,16,40,NORMAL,7,2018-02-14,14,14444
22,39,Vila Mariana,-23.5895,-46.6346,13,23257,10,43,16,REABASTECER,22,2019-04-10,9,14140
7,8,Brooklin,-23.6263,-46.6878,2,26841,58,48,21,NORMAL,29,2018-07-22,1,14602
6,13,Brooklin,-23.6263,-46.6878,8,29046,16,74,16,NORMAL,29,2019-02-22,32,14812
38,24,São Judas,-23.6255,-46.6411,43,14024,51,66,40,NORMAL,43,2018-11-15,65,13275
6,43,Brooklin,-23.6263,-46.6878,42,26834,54,76,15,NORMAL,18,2018-10-18,59,14688
14,22,Brooklin,-23.6263,-46.6878,15,29805,65,6,23,NORMAL,38,2018-10-25,65,14695
41,43,Brás,-23.5451,-46.6162,31,73221,26,45,6,NORMAL,10,2019-06-29,15,4859
43,33,Faria Lima,-23.5675,-46.6929,15,52773,3,29,36,REABASTECER,23,2019-08-03,28,8493
8,38,Barra Funda,-23.5542,-46.6707,43,150615,43,86,15,REABASTECER,6,2018-03-01,45,5101
23,22,Faria Lima,-23.5675,-46.6929,19,53430,25,68,14,NORMAL,43,2019-12-17,39,8627
13,42,Barra Funda,-23.5542,-46.6707,41,147877,55,47,13,NORMAL,36,2018-08-22,32,5272
38,11,Pinheiros,-23.5664,-46.703,3,78390,7,66,13,REABASTECER,43,2018-07-26,59,8846
43,37,Pinheiros,-23.5664,-46.703,36,79729,59,10,12,REABASTECER,43,2018-08-28,33,8878
15,38,Faria Lima,-23.5675,-46.6929,9,54496,37,68,5,NORMAL,43,2019-01-29,33,8309
28,29,Faria Lima,-23.5675,-46.6929,35,54843,48,39,15,NORMAL,38,2019-04-14,25,8384
31,36,Barra Funda,-23.5542,-46.6707,29,149880,55,66,13,NORMAL,22,2019-06-26,36,5576
5,33,Pinheiros,-23.5664,-46.703,36,78216,22,86,16,REABASTECER,30,2019-10-17,18,9287
43,9,Tatuapé,-23.5402,-46.5765,19,68837,5,57,13,REABASTECER,43,2018-01-30,53,5790
37,26,Tatuapé,-23.5402,-46.5765,36,69168,59,66,37,NORMAL,43,2018-05-17,20,5897
8,6,Pinheiros,-23.5664,-46.703,7,78197,56,86,20,REABASTECER,43,2018-09-07,45,8887
30,1,Tatuapé,-23.5402,-46.5765,37,69104,21,39,18,REABASTECER,21,2018-11-09,37,6069
20,34,Tatuapé,-23.5402,-46.5765,26,68656,3,4,3,REABASTECER,9,2018-11-12,20,6072
13,31,Butantã,-23.5844,-46.7252,43,65153,27,40,17,NORMAL,13,2018-11-01,17,9661
37,38,Tatuapé,-23.5402,-46.5765,43,67383,2,43,22,NORMAL,7,2019-03-09,14,6189
24,21,Pinheiros,-23.5664,-46.703,16,76178,30,19,13,NORMAL,13,2019-05-02,43,9122
2,19,Butantã,-23.5844,-46.7252,19,64176,49,26,43,REABASTECER,33,2018-01-23,41,9383
43,24,República,-23.5436,-46.6434,29,108222,58,67,6,REABASTECER,43,2018-01-22,60,6502
7,40,República,-23.5436,-46.6434,16,108341,63,47,19,NORMAL,27,2018-12-28,32,6838
41,27,República,-23.5436,-46.6434,11,107137,48,18,7,NORMAL,14,2019-01-01,14,6841
28,43,Fradique Coutinho,-23.5661,-46.6841,6,34187,8,46,20,NORMAL,14,2018-12-29,3,10439
2,43,Fradique Coutinho,-23.5661,-46.6841,14,36716,65,73,14,NORMAL,10,2019-03-29,32,10529
14,38,República,-23.5436,-46.6434,35,107666,52,55,43,NORMAL,37,2019-07-28,23,7048
14,11,Butantã,-23.5844,-46.7252,4,66291,61,65,39,REABASTECER,43,2019-10-27,34,10017
35,15,Fradique Coutinho,-23.5661,-46.6841,41,34675,65,65,26,NORMAL,35,2019-12-16,33,10786
9,28,Higienópolis-Mackenzie,-23.5488,-46.6519,11,89816,30,36,3,REABASTECER,15,2018-02-10,54,7240
3,29,Higienópolis-Mackenzie,-23.5488,-46.6519,41,91909,26,57,16,NORMAL,28,2018-05-13,11,7333
43,19,Higienópolis-Mackenzie,-23.5488,-46.6519,31,92205,57,62,35,NORMAL,43,2018-07-22,61,7402
28,25,Higienópolis-Mackenzie,-23.5488,-46.6519,11,89572,21,33,13,NORMAL,24,2018-08-30,65,7440
15,7,Fradique Coutinho,-23.5661,-46.6841,41,33494,58,61,8,NORMAL,26,2018-10-18,51,10368
24,24,Higienópolis-Mackenzie,-23.5488,-46.6519,11,90666,16,23,7,NORMAL,18,2018-09-01,61,7441
23,8,Fradique Coutinho,-23.5661,-46.6841,26,35790,13,25,17,NORMAL,36,2018-11-19,19,10399
4,6,Fradique Coutinho,-23.5661,-46.6841,38,36442,33,34,43,NORMAL,31,2018-12-13,41,10423
32,34,Fradique Coutinho,-23.5661,-46.6841,33,34790,8,75,25,REABASTECER,18,2018-12-17,10,10427
33,28,Higienópolis-Mackenzie,-23.5488,-46.6519,20,92186,24,74,7,NORMAL,13,2019-01-26,29,7586
31,4,Fradique Coutinho,-23.5661,-46.6841,16,33784,36,73,13,REABASTECER,36,2019-06-28,46,10618
30,24,Luz,-23.5365,-46.6332,19,125833,55,53,14,NORMAL,43,2019-05-06,65,11286
4,35,Luz,-23.5365,-46.6332,35,124584,18,47,24,REABASTECER,26,2019-10-26,21,11456
23,37,Higienópolis-Mackenzie,-23.5488,-46.6519,5,92602,7,65,43,NORMAL,40,2019-11-27,25,7887
33,43,Luz,-23.5365,-46.6332,31,127704,27,79,11,NORMAL,12,2019-11-21,61,11481
8,23,Luz,-23.5365,-46.6332,19,125932,51,23,26,NORMAL,30,2019-11-27,15,11487
34,38,Faria Lima,-23.5675,-46.6929,43,54408,40,17,30,REABASTECER,1,2018-05-22,56,8062
27,43,Luz,-23.5365,-46.6332,7,125698,50,8,18,NORMAL,35,2019-04-15,4,11265
40,15,Tamanduateí,-23.5929,-46.5897,3,50789,41,76,3,NORMAL,8,2019-03-16,26,3316
21,43,Faria Lima,-23.5675,-46.6929,33,54896,35,86,38,NORMAL,4,2018-11-14,33,8234
19,10,Higienópolis-Mackenzie,-23.5488,-46.6519,19,92543,65,34,35,NORMAL,13,2018-12-07,29,7537
22,19,Tamanduateí,-23.5929,-46.5897,16,51368,65,22,15,REABASTECER,43,2019-11-09,8,3549
43,22,Faria Lima,-23.5675,-46.6929,35,52356,62,41,19,REABASTECER,14,2019-05-13,9,8413
43,12,Sé,-23.55,-46.6333,35,191820,45,34,28,NORMAL,5,2018-02-28,57,3658
3,43,Higienópolis-Mackenzie,-23.5488,-46.6519,42,90058,42,34,31,REABASTECER,43,2019-05-24,21,7704
20,34,Faria Lima,-23.5675,-46.6929,29,51152,40,44,43,NORMAL,43,2019-10-04,19,8554
43,24,Higienópolis-Mackenzie,-23.5488,-46.6519,37,89901,53,66,33,NORMAL,14,2019-09-05,16,7805
20,37,Higienópolis-Mackenzie,-23.5488,-46.6519,43,93125,65,54,37,NORMAL,36,2019-11-28,18,7888
24,30,Faria Lima,-23.5675,-46.6929,27,53334,40,34,24,NORMAL,21,2018-01-06,31,7926
39,9,Sé,-23.55,-46.6333,6,194846,65,86,26,REABASTECER,28,2018-11-03,45,3903
32,31,Faria Lima,-23.5675,-46.6929,43,52423,65,23,43,NORMAL,18,2018-02-05,21,7955
43,23,Sé,-23.55,-46.6333,43,193854,65,60,29,NORMAL,39,2019-02-01,24,3991
29,6,Pinheiros,-23.5664,-46.703,16,77621,54,9,5,REABASTECER,29,2018-08-09,37,8859
24,30,Sé,-23.55,-46.6333,32,194110,42,61,43,NORMAL,43,2019-08-24,22,4194
28,16,Faria Lima,-23.5675,-46.6929,11,53885,54,66,5,REABASTECER,1,2019-02-08,35,8318
10,20,Sé,-23.55,-46.6333,39,193655,29,40,16,NORMAL,8,2019-12-04,58,4294
43,8,Faria Lima,-23.5675,-46.6929,24,54265,65,42,22,NORMAL,9,2019-05-03,20,8403
15,31,Faria Lima,-23.5675,-46.6929,21,53688,31,86,21,NORMAL,43,2019-07-18,52,8478
17,15,Faria Lima,-23.5675,-46.6929,37,51445,28,20,37,REABASTECER,41,2019-10-26,1,8576
22,18,Brás,-23.5451,-46.6162,23,71363,31,17,32,NORMAL,41,2018-10-02,15,4592
22,11,Brás,-23.5451,-46.6162,43,73221,43,86,38,NORMAL,43,2019-02-05,28,4715
30,27,Pinheiros,-23.5664,-46.703,23,77146,6,86,20,REABASTECER,24,2018-05-21,16,8781
39,43,Brás,-23.5451,-46.6162,9,74315,17,77,41,NORMAL,8,2019-04-16,54,4786
41,28,Pinheiros,-23.5664,-46.703,27,78635,50,49,26,NORMAL,17,2018-11-21,59,8961
31,18,Brás,-23.5451,-46.6162,43,72958,65,19,7,NORMAL,32,2019-08-25,10,4915
35,20,Pinheiros,-23.5664,-46.703,27,77181,40,54,30,NORMAL,12,2019-01-29,43,9029
11,4,Butantã,-23.5844,-46.7252,14,64912,32,86,43,NORMAL,28,2019-05-06,55,9846
32,12,Pinheiros,-23.5664,-46.703,14,78656,61,47,3,REABASTECER,27,2019-04-05,46,9095
14,29,Fradique Coutinho,-23.5661,-46.6841,43,35858,16,86,27,REABASTECER,21,2018-01-28,5,10108
10,11,Fradique Coutinho,-23.5661,-46.6841,30,34241,65,76,10,NORMAL,30,2018-12-01,61,10411
21,26,Butantã,-23.5844,-46.7252,31,67458,38,43,43,NORMAL,28,2018-11-29,15,9689
5,24,Barra Funda,-23.5542,-46.6707,8,147256,26,86,31,REABASTECER,32,2019-10-20,59,5690
12,11,Barra Funda,-23.5542,-46.6707,29,149742,50,38,35,NORMAL,24,2019-11-10,43,5710
23,28,Luz,-23.5365,-46.6332,19,125520,32,9,19,REABASTECER,43,2018-03-10,39,10870
24,42,Fradique Coutinho,-23.5661,-46.6841,18,33953,65,74,17,NORMAL,9,2018-09-12,36,10332
23,43,Tatuapé,-23.5402,-46.5765,11,67467,65,48,14,NORMAL,25,2019-04-06,42,6216
